job_id,year,country,region,city,company_name,company_size,industry,job_title,seniority_level,ai_mentioned,ai_intensity_score,core_skills,salary_usd,salary_change,automation_risk_score,reskilling_required,ai_job_displacement_risk,industry_ai_adoption_stage
12,2014,New Zealand,Oceania,New York,Prime Technologies,Medium,Education,Data Scientist,Lead,False,0.01,"Data Analysis, SQL, Research",77948,-4.39,0.69,False,High,Emerging
13,2017,China,East Asia,Singapore,Global Systems,Enterprise,Tech,Operations Manager,Lead,True,0.53,"SQL, Research, Project Management",90257,1.72,0.19,True,High,Growing
14,2012,Netherlands,Europe,Nairobi,Global Solutions,Medium,Education,Software Engineer,Junior,False,0.09,"SQL, Communication, Data Analysis, Software Engineering, Business Analysis",64424,-1.97,0.9,False,High,Emerging
15,2018,Pakistan,South Asia,Berlin,Future Technologies,Large,Agriculture,Operations Manager,Lead,True,0.75,"Research, Python, SQL, Communication, Statistics, Software Engineering",38150,5.57,0.2,True,High,Growing
16,2014,Nepal,South Asia,Seoul,Prime Technologies,Small,Energy,AI Researcher,Junior,True,0.78,"Business Analysis, Python, Data Analysis, Statistics",32930,-1.46,0.27,True,Medium,Emerging
17,2015,Kenya,Africa,Bangalore,NextGen Technologies,Large,Finance,Data Scientist,Executive,False,0.17,"Business Analysis, Statistics, Cloud Computing, Communication",18976,3.17,0.74,False,Low,Emerging
18,2022,Nepal,South Asia,Bangalore,Global Systems,Medium,Agriculture,Research Scientist,Senior,False,0.02,"Statistics, Business Analysis, SQL, Project Management, Cloud Computing",31038,-3.21,0.89,False,Low,Growing
19,2023,Mexico,North America,Singapore,Prime Systems,Enterprise,Tech,Product Manager,Lead,False,0.11,"SQL, Cloud Computing, Research, Statistics, Project Management",103705,2.42,0.8,False,Medium,Mature
20,2014,Jordan,Middle East,Sydney,Global Solutions,Large,Education,Business Analyst,Junior,False,0.08,"Communication, Statistics, Software Engineering, Project Management, Business Analysis, SQL",60168,-3.26,0.77,False,High,Emerging
21,2019,Germany,Europe,Toronto,Global Analytics,Enterprise,Agriculture,Systems Engineer,Executive,True,0.52,"Business Analysis, Software Engineering, Communication, SQL",97050,5.32,0.17,True,Low,Growing
22,2017,Colombia,South America,Toronto,Future Analytics,Enterprise,Healthcare,Research Scientist,Executive,False,0.11,"Research, Software Engineering, Data Analysis, Statistics, Project Management, Business Analysis",47653,-3.79,0.64,False,Medium,Growing
23,2025,Jordan,Middle East,Lagos,NextGen Technologies,Medium,Education,Software Engineer,Senior,True,0.58,"Statistics, Research, Software Engineering, Project Management, Python, SQL",102722,6.8,0.17,True,Medium,Growing
24,2022,Mexico,North America,Paris,NextGen Analytics,Startup,Government,AI Researcher,Mid,False,0.06,"Software Engineering, Python, Business Analysis, Data Analysis, Statistics, Project Management",92058,3.92,0.85,False,High,Growing
25,2010,Indonesia,Southeast Asia,New York,Future Analytics,Enterprise,Energy,Product Manager,Junior,False,0.01,"Statistics, Communication, Business Analysis, Data Analysis, Project Management, Software Engineering",31284,-3.64,0.74,False,Low,Emerging
26,2011,Mexico,North America,Tokyo,Global Technologies,Small,Retail,AI Researcher,Junior,False,0.16,"SQL, Project Management, Software Engineering, Statistics, Data Analysis, Business Analysis",75382,2.54,0.88,False,Low,Emerging
27,2019,Argentina,South America,Tokyo,Global Solutions,Enterprise,Finance,Research Scientist,Intern,True,0.92,"Statistics, Research, Business Analysis",56598,12.7,0.35,True,High,Growing
28,2020,Peru,South America,Lagos,NextGen Analytics,Large,Tech,ML Engineer,Executive,False,0.02,"Communication, Research, Software Engineering, Project Management, Business Analysis",51789,1.36,0.85,False,High,Growing
29,2017,Israel,Middle East,New York,Prime Solutions,Medium,Finance,ML Engineer,Senior,False,0.05,"Statistics, Cloud Computing, Communication, Data Analysis",59859,1.1,0.71,False,High,Growing
30,2016,Australia,Oceania,Toronto,Prime Systems,Small,Finance,Software Engineer,Mid,False,0.1,"Business Analysis, Project Management, Cloud Computing, Statistics",82640,1.91,0.79,False,High,Emerging
31,2021,Vietnam,Southeast Asia,Nairobi,NextGen Technologies,Enterprise,Energy,AI Researcher,Executive,True,0.47,"Cloud Computing, Research, Communication, Python, SQL, Data Analysis",50708,6.55,0.26,True,Low,Growing
32,2010,Italy,Europe,Seoul,Prime Systems,Small,Agriculture,Data Scientist,Lead,False,0.19,"Software Engineering, Communication, Research, Data Analysis, SQL",60960,1.97,0.64,False,Low,Emerging
33,2012,Singapore,Southeast Asia,London,Prime Technologies,Large,Energy,Policy Analyst,Senior,True,0.48,"Software Engineering, Cloud Computing, Business Analysis, Data Analysis, Research, Statistics",45359,-1.96,0.4,True,Low,Emerging
34,2016,Argentina,South America,Dubai,Prime Solutions,Startup,Manufacturing,Data Scientist,Junior,False,0.03,"Cloud Computing, Software Engineering, SQL, Statistics, Research",36035,-4.97,0.74,False,Medium,Emerging
35,2013,Egypt,Africa,Bangalore,Future Analytics,Small,Agriculture,Software Engineer,Senior,False,0.18,"Business Analysis, Cloud Computing, Software Engineering, Project Management, Python",21542,-4.29,0.65,False,High,Emerging
36,2018,South Korea,East Asia,Paris,Prime Solutions,Startup,Tech,ML Engineer,Lead,True,0.85,"Software Engineering, SQL, Communication, Data Analysis, Project Management, Business Analysis",97664,14.92,0.15,True,Medium,Growing
37,2023,Netherlands,Europe,Bangalore,Future Systems,Medium,Government,Systems Engineer,Lead,False,0.08,"Research, Software Engineering, Business Analysis",89917,-4.63,0.63,False,Low,Growing
38,2025,New Zealand,Oceania,Nairobi,NextGen Technologies,Startup,Government,Business Analyst,Lead,True,0.88,"Research, Business Analysis, SQL",131344,5.38,0.29,True,Low,Growing
39,2014,Singapore,Southeast Asia,Paris,NextGen Analytics,Medium,Government,AI Researcher,Lead,False,0.05,"SQL, Cloud Computing, Business Analysis, Data Analysis",36974,4.8,0.67,False,High,Emerging
40,2019,Canada,North America,Singapore,NextGen Technologies,Small,Government,Research Scientist,Senior,False,0.1,"Business Analysis, Python, Statistics, Software Engineering",84431,2.63,0.71,False,Medium,Growing
41,2025,Japan,East Asia,Seoul,NextGen Systems,Small,Tech,Operations Manager,Mid,True,0.45,"Communication, Business Analysis, SQL, Research, Data Analysis",125397,5.2,0.14,True,High,Mature
42,2025,South Korea,East Asia,London,Prime Systems,Startup,Agriculture,Software Engineer,Senior,False,0.05,"Cloud Computing, Python, Research, Data Analysis",84161,-2.13,0.67,False,Low,Growing
43,2023,Bangladesh,South Asia,Dubai,NextGen Technologies,Small,Healthcare,Operations Manager,Executive,True,0.44,"Software Engineering, Cloud Computing, Python, Business Analysis, Project Management",43249,13.06,0.17,True,Medium,Growing
44,2024,Germany,Europe,Singapore,Future Solutions,Enterprise,Retail,Data Scientist,Executive,True,0.95,"Cloud Computing, Python, Research, Communication, Statistics, Project Management",131923,6.39,0.21,True,Medium,Growing
45,2016,Pakistan,South Asia,Dubai,Future Technologies,Small,Manufacturing,Software Engineer,Mid,False,0.18,"Business Analysis, Data Analysis, Project Management, SQL, Cloud Computing",24636,-1.91,0.73,False,Medium,Emerging
46,2015,New Zealand,Oceania,London,NextGen Technologies,Large,Manufacturing,Systems Engineer,Lead,False,0.06,"SQL, Business Analysis, Python, Data Analysis, Cloud Computing",83056,3.04,0.74,False,Low,Emerging
47,2022,Bangladesh,South Asia,Dubai,NextGen Systems,Startup,Retail,Operations Manager,Executive,False,0.09,"Business Analysis, SQL, Data Analysis, Python, Communication",28175,4.43,0.7,False,Medium,Growing
48,2017,Brazil,South America,Dubai,NextGen Analytics,Small,Agriculture,Software Engineer,Senior,False,0.07,"Cloud Computing, Python, Statistics, SQL, Project Management, Software Engineering",48059,1.96,0.76,False,Low,Growing
49,2021,Chile,South America,New York,Future Technologies,Large,Tech,ML Engineer,Lead,True,0.45,"SQL, Research, Project Management, Cloud Computing",59541,13.31,0.39,True,Low,Growing
50,2010,Pakistan,South Asia,Berlin,Global Solutions,Small,Manufacturing,AI Researcher,Lead,False,0.11,"Python, Data Analysis, Cloud Computing, Communication, SQL",21791,-3.9,0.86,False,High,Emerging
51,2012,Australia,Oceania,New York,Future Analytics,Large,Government,Data Scientist,Intern,False,0.1,"Business Analysis, Communication, SQL, Project Management, Statistics, Research",60819,0.04,0.88,False,Low,Emerging
52,2014,Nepal,South Asia,Paris,Future Analytics,Small,Finance,Policy Analyst,Lead,False,0.13,"SQL, Communication, Project Management, Software Engineering, Business Analysis, Research",22724,-1.75,0.9,False,Medium,Emerging
53,2023,Thailand,Southeast Asia,London,Future Technologies,Medium,Finance,Policy Analyst,Intern,True,0.91,"SQL, Business Analysis, Statistics, Research, Software Engineering",50798,15.81,0.13,True,Medium,Mature
54,2019,Jordan,Middle East,Seoul,Future Systems,Startup,Retail,Business Analyst,Lead,False,0.04,"Business Analysis, Research, Python, Cloud Computing",66485,-2.76,0.63,False,High,Growing
55,2018,United States,North America,Lagos,Global Systems,Medium,Manufacturing,Policy Analyst,Junior,False,0.04,"Business Analysis, Software Engineering, Statistics, SQL, Data Analysis, Research",77510,1.57,0.62,False,High,Growing
56,2014,Brazil,South America,Tokyo,Global Solutions,Enterprise,Healthcare,Systems Engineer,Intern,True,0.64,"Communication, Software Engineering, Cloud Computing, Python, SQL",53628,1.07,0.22,True,Medium,Emerging
57,2016,United States,North America,Sydney,NextGen Technologies,Small,Manufacturing,Systems Engineer,Lead,False,0.15,"Research, Communication, Statistics, Python",77382,-3.8,0.75,False,Medium,Emerging
58,2024,China,East Asia,Seoul,Future Systems,Medium,Finance,Systems Engineer,Intern,True,0.41,"Business Analysis, Communication, SQL, Project Management",103592,15.42,0.29,True,Medium,Mature
59,2015,Kenya,Africa,Seoul,NextGen Technologies,Enterprise,Finance,Software Engineer,Junior,False,0.11,"Project Management, Data Analysis, Research, Business Analysis, Statistics",18799,2.76,0.71,False,Low,Emerging
60,2024,Thailand,Southeast Asia,Paris,Global Solutions,Medium,Retail,Operations Manager,Senior,True,0.64,"Python, Statistics, Cloud Computing",56112,8.57,0.12,True,Low,Growing
61,2024,New Zealand,Oceania,Seoul,Future Systems,Startup,Agriculture,Policy Analyst,Executive,True,0.66,"Python, Project Management, Software Engineering, Research",115685,5.8,0.13,True,High,Growing
62,2021,Netherlands,Europe,Bangalore,Future Technologies,Large,Manufacturing,Product Manager,Intern,True,0.76,"Statistics, Cloud Computing, Business Analysis, SQL",97171,6.23,0.3,True,High,Growing
63,2022,Jordan,Middle East,Sao Paulo,Prime Solutions,Small,Retail,Data Scientist,Mid,False,0.17,"Data Analysis, Project Management, Statistics, Business Analysis, Research",72871,1.85,0.76,False,Low,Growing
64,2012,France,Europe,Nairobi,NextGen Analytics,Startup,Manufacturing,ML Engineer,Junior,False,0.11,"Communication, Data Analysis, Software Engineering, Python",68153,0.27,0.8,False,Medium,Emerging
65,2019,Egypt,Africa,Singapore,Prime Analytics,Small,Government,Business Analyst,Senior,False,0.06,"Data Analysis, Project Management, Communication, Business Analysis, Software Engineering, Python",24976,-0.31,0.85,False,High,Growing
66,2013,Nepal,South Asia,Sydney,Global Technologies,Startup,Agriculture,Operations Manager,Mid,False,0.15,"Business Analysis, Python, Communication",20314,4.05,0.64,False,High,Emerging
67,2012,Egypt,Africa,Berlin,Global Solutions,Small,Retail,Operations Manager,Executive,False,0.19,"Software Engineering, Communication, Python, Research",21021,1.5,0.84,False,Low,Emerging
68,2023,South Africa,Africa,Seoul,Prime Systems,Medium,Finance,Policy Analyst,Lead,True,0.53,"Data Analysis, Cloud Computing, Business Analysis, Python",36488,13.1,0.12,True,High,Mature
69,2023,Ghana,Africa,Toronto,Global Analytics,Startup,Healthcare,Product Manager,Mid,True,0.68,"Statistics, SQL, Communication",40159,12.2,0.22,True,Low,Growing
70,2011,Pakistan,South Asia,Toronto,NextGen Technologies,Enterprise,Retail,Software Engineer,Executive,False,0.13,"Python, Cloud Computing, Project Management, Communication, SQL, Business Analysis",22641,1.85,0.89,False,Medium,Emerging
71,2025,New Zealand,Oceania,Singapore,Future Systems,Startup,Manufacturing,Product Manager,Senior,False,0.04,"Software Engineering, Business Analysis, Statistics, SQL, Project Management, Communication",90205,2.81,0.86,False,Medium,Growing
72,2023,UAE,Middle East,Lagos,Prime Technologies,Large,Finance,Operations Manager,Mid,True,0.46,"Python, Statistics, Business Analysis, Data Analysis, Research, Communication",92276,8.84,0.23,True,Low,Mature
73,2015,Nepal,South Asia,Sao Paulo,Future Solutions,Small,Tech,Systems Engineer,Lead,False,0.14,"Communication, Data Analysis, Software Engineering",22573,-3.74,0.67,False,Medium,Emerging
74,2014,Singapore,Southeast Asia,Toronto,Prime Systems,Medium,Agriculture,Business Analyst,Mid,False,0.13,"Project Management, Cloud Computing, Software Engineering, SQL, Python, Business Analysis",31076,-3.87,0.82,False,Low,Emerging
75,2012,Poland,Europe,Lagos,NextGen Solutions,Medium,Retail,Policy Analyst,Junior,False,0.11,"Project Management, Data Analysis, Communication",59600,-2.0,0.65,False,Medium,Emerging
76,2021,Nepal,South Asia,Nairobi,Prime Systems,Enterprise,Government,ML Engineer,Mid,True,0.57,"Software Engineering, Communication, Statistics",42821,14.35,0.26,True,Low,Growing
77,2023,France,Europe,Tokyo,Future Solutions,Startup,Agriculture,Software Engineer,Mid,False,0.1,"Research, Cloud Computing, Data Analysis, Statistics",78499,-3.38,0.88,False,Medium,Growing
78,2015,Australia,Oceania,Seoul,Global Systems,Small,Healthcare,Data Scientist,Executive,False,0.14,"Project Management, Business Analysis, Python, Communication, Statistics",77107,3.43,0.77,False,High,Emerging
79,2017,Qatar,Middle East,Singapore,NextGen Solutions,Medium,Energy,Product Manager,Executive,False,0.14,"Business Analysis, Data Analysis, Statistics, Cloud Computing, Communication",54294,-0.84,0.74,False,Low,Growing
80,2013,Egypt,Africa,Tokyo,NextGen Solutions,Large,Manufacturing,Research Scientist,Executive,False,0.02,"Project Management, Data Analysis, Software Engineering, Cloud Computing, Communication",18385,-1.16,0.78,False,Medium,Emerging
81,2012,Singapore,Southeast Asia,Dubai,Prime Solutions,Enterprise,Energy,Policy Analyst,Intern,False,0.05,"Business Analysis, Data Analysis, Cloud Computing",32595,-4.51,0.68,False,High,Emerging
82,2011,South Korea,East Asia,Nairobi,Future Systems,Startup,Energy,ML Engineer,Intern,False,0.04,"Statistics, Communication, Research, Business Analysis, SQL, Software Engineering",57554,-4.26,0.75,False,High,Emerging
83,2011,China,East Asia,Berlin,Future Solutions,Small,Tech,ML Engineer,Senior,False,0.16,"Communication, Statistics, Software Engineering, Research, Cloud Computing",56978,-3.51,0.87,False,Medium,Emerging
84,2020,Canada,North America,Toronto,Future Technologies,Large,Finance,Data Scientist,Lead,False,0.16,"Data Analysis, Research, Business Analysis, SQL, Statistics, Software Engineering",97151,1.88,0.61,False,Low,Growing
85,2010,Argentina,South America,Toronto,Global Technologies,Medium,Government,Policy Analyst,Junior,False,0.08,"Software Engineering, Research, Business Analysis, Data Analysis, SQL",31890,0.02,0.78,False,Medium,Emerging
86,2021,Nepal,South Asia,Bangalore,Future Technologies,Enterprise,Manufacturing,Operations Manager,Mid,False,0.19,"Statistics, Research, Cloud Computing, Data Analysis, Python, Software Engineering",24836,-2.02,0.88,False,High,Growing
87,2021,Taiwan,East Asia,Seoul,Future Solutions,Medium,Healthcare,ML Engineer,Intern,True,0.91,"Project Management, Python, Communication, Statistics",107201,14.72,0.16,True,Low,Growing
88,2020,Colombia,South America,Sao Paulo,Prime Analytics,Startup,Government,AI Researcher,Mid,False,0.03,"Cloud Computing, Python, SQL, Statistics, Communication",51840,4.78,0.65,False,Low,Growing
89,2023,United States,North America,Bangalore,Global Systems,Startup,Healthcare,Business Analyst,Lead,False,0.08,"Statistics, Cloud Computing, Software Engineering",97165,4.37,0.89,False,High,Growing
90,2014,New Zealand,Oceania,Lagos,NextGen Systems,Large,Agriculture,Product Manager,Mid,False,0.16,"Data Analysis, Business Analysis, Research, Cloud Computing",69102,2.31,0.79,False,Medium,Emerging
91,2015,China,East Asia,Singapore,Future Systems,Large,Healthcare,Business Analyst,Executive,False,0.05,"Project Management, Python, SQL, Communication, Data Analysis",58710,-2.64,0.83,False,Low,Emerging
92,2013,New Zealand,Oceania,Dubai,Future Analytics,Medium,Manufacturing,Policy Analyst,Senior,False,0.04,"Project Management, SQL, Software Engineering, Cloud Computing",63061,-3.47,0.82,False,High,Emerging
93,2013,Peru,South America,Toronto,Global Technologies,Enterprise,Tech,Research Scientist,Senior,False,0.04,"Research, Software Engineering, Python",38569,-3.35,0.86,False,Medium,Emerging
94,2024,New Zealand,Oceania,Singapore,Global Systems,Enterprise,Tech,Software Engineer,Senior,True,0.85,"Cloud Computing, Business Analysis, Data Analysis",138748,12.52,0.11,True,Low,Mature
95,2024,Sri Lanka,South Asia,Tokyo,Global Systems,Large,Energy,Business Analyst,Senior,True,0.5,"Research, Business Analysis, Project Management, SQL, Software Engineering, Data Analysis",40204,11.87,0.32,True,Low,Growing
96,2013,Morocco,Africa,Dubai,Global Analytics,Large,Tech,Research Scientist,Executive,False,0.19,"Project Management, Python, Business Analysis",21909,-2.59,0.62,False,Medium,Emerging
97,2011,Australia,Oceania,Nairobi,Future Technologies,Enterprise,Healthcare,Business Analyst,Junior,False,0.05,"Business Analysis, Cloud Computing, Research, Python",75313,0.76,0.77,False,High,Emerging
98,2025,Sweden,Europe,Berlin,Future Analytics,Medium,Tech,ML Engineer,Lead,False,0.13,"Project Management, Communication, Cloud Computing, Business Analysis, Statistics, SQL",94459,-1.81,0.72,False,Medium,Mature
99,2023,New Zealand,Oceania,Paris,NextGen Systems,Enterprise,Agriculture,Business Analyst,Senior,True,0.58,"SQL, Project Management, Research",110516,10.85,0.21,True,Medium,Growing
100,2010,Bangladesh,South Asia,Dubai,NextGen Analytics,Small,Education,AI Researcher,Lead,False,0.02,"Cloud Computing, Business Analysis, Software Engineering, Communication, Statistics",22997,-0.21,0.67,False,Medium,Emerging
101,2025,Israel,Middle East,Singapore,Prime Systems,Startup,Government,Research Scientist,Junior,False,0.14,"Python, Cloud Computing, Business Analysis, Data Analysis",78190,-1.8,0.66,False,Low,Growing
102,2022,Pakistan,South Asia,Nairobi,Future Technologies,Large,Education,ML Engineer,Executive,True,0.93,"Data Analysis, Research, Python, Cloud Computing, Software Engineering, Statistics",39698,11.38,0.15,True,High,Growing
103,2014,Canada,North America,Sao Paulo,Prime Analytics,Startup,Education,Data Scientist,Intern,False,0.0,"Python, Communication, Cloud Computing, Software Engineering, Data Analysis, Research",78534,-1.27,0.79,False,High,Emerging
104,2013,Germany,Europe,London,Future Analytics,Small,Agriculture,Operations Manager,Lead,False,0.12,"Project Management, Cloud Computing, SQL, Statistics",60542,-1.46,0.84,False,High,Emerging
105,2022,Colombia,South America,Seoul,Global Systems,Enterprise,Energy,AI Researcher,Junior,True,0.45,"Cloud Computing, Python, SQL, Statistics, Data Analysis, Communication",73543,13.38,0.2,True,High,Growing
106,2010,Netherlands,Europe,Dubai,NextGen Analytics,Enterprise,Education,Policy Analyst,Mid,False,0.16,"Data Analysis, SQL, Statistics, Python, Business Analysis, Project Management",65776,4.29,0.69,False,Low,Emerging
107,2022,Nepal,South Asia,Sydney,Prime Technologies,Startup,Retail,Research Scientist,Executive,False,0.16,"SQL, Cloud Computing, Project Management, Statistics, Python, Business Analysis",26796,-2.72,0.77,False,Medium,Growing
108,2022,Japan,East Asia,Sydney,Prime Analytics,Medium,Retail,Software Engineer,Intern,True,0.64,"Statistics, Research, SQL",112930,6.33,0.13,True,High,Growing
109,2010,Sri Lanka,South Asia,Dubai,NextGen Analytics,Large,Manufacturing,ML Engineer,Junior,False,0.02,"Cloud Computing, Communication, Software Engineering, SQL, Python",22406,4.05,0.89,False,Low,Emerging
110,2019,Qatar,Middle East,Toronto,Global Technologies,Startup,Government,Business Analyst,Intern,False,0.19,"Statistics, Business Analysis, Communication, Project Management, Data Analysis, Research",67708,-0.04,0.79,False,High,Growing
111,2020,Italy,Europe,Nairobi,Prime Solutions,Large,Education,Software Engineer,Lead,True,0.93,"Communication, Research, Data Analysis, Statistics",118437,9.24,0.18,True,High,Growing
112,2016,Philippines,Southeast Asia,Berlin,Future Technologies,Medium,Government,Business Analyst,Executive,False,0.01,"Business Analysis, Communication, SQL, Project Management",39093,2.95,0.8,False,High,Emerging
113,2011,Taiwan,East Asia,Berlin,Global Analytics,Enterprise,Retail,Product Manager,Senior,False,0.18,"Python, SQL, Cloud Computing",50011,-2.52,0.8,False,Low,Emerging
114,2024,Australia,Oceania,Seoul,NextGen Solutions,Large,Retail,Business Analyst,Mid,True,0.67,"Project Management, Research, Software Engineering, Data Analysis, Communication, Python",121289,16.97,0.13,True,Medium,Growing
115,2019,India,South Asia,Singapore,Prime Analytics,Startup,Tech,AI Researcher,Senior,True,0.91,"Data Analysis, Business Analysis, Research, Python",38125,11.71,0.27,True,High,Growing
116,2023,Egypt,Africa,London,NextGen Solutions,Startup,Energy,Product Manager,Junior,False,0.04,"SQL, Cloud Computing, Software Engineering, Research, Statistics, Data Analysis",26913,3.09,0.62,False,High,Growing
117,2021,China,East Asia,London,NextGen Solutions,Large,Retail,Software Engineer,Junior,False,0.16,"SQL, Data Analysis, Statistics, Software Engineering, Communication",77670,-2.03,0.78,False,High,Growing
118,2022,Japan,East Asia,Seoul,Future Systems,Small,Energy,Operations Manager,Junior,True,0.56,"Business Analysis, Research, Software Engineering, Project Management",94889,15.95,0.29,True,High,Growing
119,2025,Taiwan,East Asia,Lagos,Prime Systems,Startup,Healthcare,Research Scientist,Intern,True,0.55,"Research, Statistics, Python, Business Analysis, Communication",112909,7.19,0.24,True,Medium,Growing
120,2013,Egypt,Africa,Seoul,Global Technologies,Medium,Education,AI Researcher,Executive,False,0.01,"Communication, Business Analysis, Data Analysis, Cloud Computing, SQL",18223,3.62,0.63,False,Low,Emerging
121,2021,Mexico,North America,Seoul,Global Technologies,Medium,Agriculture,Systems Engineer,Intern,False,0.03,"Data Analysis, Communication, Project Management, SQL, Statistics",106478,-2.07,0.77,False,Medium,Growing
122,2014,Taiwan,East Asia,Lagos,Future Solutions,Large,Manufacturing,Operations Manager,Senior,False,0.02,"Communication, Python, SQL, Statistics, Project Management",67044,2.69,0.72,False,High,Emerging
123,2022,Peru,South America,Berlin,Prime Solutions,Large,Education,Data Scientist,Intern,False,0.1,"Software Engineering, Python, SQL",45070,-2.16,0.76,False,Low,Growing
124,2023,Singapore,Southeast Asia,Singapore,Future Systems,Small,Education,Product Manager,Executive,False,0.06,"Python, Business Analysis, Cloud Computing, Statistics",46384,3.77,0.63,False,High,Growing
125,2013,China,East Asia,Lagos,Future Systems,Small,Tech,Systems Engineer,Executive,False,0.03,"Software Engineering, SQL, Project Management, Communication",55025,1.8,0.6,False,Low,Emerging
126,2021,Chile,South America,London,Global Technologies,Small,Manufacturing,Operations Manager,Mid,False,0.16,"Data Analysis, Business Analysis, Software Engineering, Research",51779,1.42,0.8,False,Low,Growing
127,2013,Argentina,South America,Paris,Future Systems,Medium,Energy,Business Analyst,Junior,False,0.06,"Business Analysis, Cloud Computing, Python, Communication",34027,-2.23,0.63,False,Low,Emerging
128,2017,China,East Asia,Singapore,NextGen Analytics,Enterprise,Government,Software Engineer,Intern,True,0.91,"Python, Cloud Computing, Project Management",82883,3.61,0.27,True,Low,Growing
129,2023,South Korea,East Asia,Paris,Future Analytics,Large,Energy,Research Scientist,Executive,True,0.57,"Cloud Computing, Business Analysis, Project Management",107392,7.64,0.34,True,Low,Growing
130,2013,Colombia,South America,Lagos,NextGen Systems,Enterprise,Government,ML Engineer,Senior,False,0.06,"Research, Communication, Cloud Computing, SQL, Data Analysis",40916,2.41,0.64,False,Low,Emerging
131,2020,Brazil,South America,Paris,Future Systems,Medium,Energy,Operations Manager,Lead,False,0.05,"Statistics, Data Analysis, Cloud Computing, Business Analysis",51984,1.28,0.75,False,Low,Growing
132,2010,Argentina,South America,Seoul,Global Analytics,Startup,Tech,AI Researcher,Mid,False,0.09,"Business Analysis, Statistics, Cloud Computing, Communication",33771,-3.5,0.88,False,Low,Emerging
133,2011,India,South Asia,Bangalore,Future Solutions,Small,Healthcare,Software Engineer,Lead,False,0.2,"Python, Statistics, Project Management, Data Analysis, Cloud Computing, Business Analysis",23406,-4.31,0.74,False,High,Emerging
134,2021,Egypt,Africa,New York,NextGen Solutions,Small,Government,Data Scientist,Mid,False,0.11,"Business Analysis, Cloud Computing, SQL",26065,-3.49,0.88,False,Low,Growing
135,2025,Egypt,Africa,Singapore,Prime Systems,Small,Tech,Research Scientist,Intern,True,0.91,"Business Analysis, SQL, Python, Project Management",40895,11.76,0.31,True,High,Mature
136,2018,Kenya,Africa,Tokyo,NextGen Systems,Large,Retail,ML Engineer,Intern,False,0.15,"Software Engineering, Communication, Statistics, Project Management",21101,-2.28,0.62,False,Low,Growing
137,2024,Pakistan,South Asia,New York,NextGen Solutions,Large,Manufacturing,ML Engineer,Intern,True,0.49,"Statistics, Business Analysis, Python, Communication",41979,15.74,0.31,True,Medium,Growing
138,2022,United Kingdom,Europe,New York,Global Technologies,Enterprise,Government,ML Engineer,Junior,False,0.05,"Statistics, SQL, Cloud Computing, Business Analysis, Python, Communication",80670,3.04,0.64,False,Low,Growing
139,2012,Indonesia,Southeast Asia,Sydney,Prime Systems,Startup,Retail,Systems Engineer,Executive,False,0.09,"Data Analysis, Statistics, Project Management, SQL, Communication, Research",28632,0.74,0.85,False,Medium,Emerging
